"('rif', 1173)"
"('nigellevine', 95)"
"('georgauguststahl', 95)"
"('almutgitterjones', 95)"
"('cambodia', 94)"
"('koblenz', 94)"
"('ladygaga', 94)"
"('ibnsaud', 94)"
"('swamp', 94)"
"('johnsingleton', 94)"
"('robbynhermitage', 94)"
"('jonholstchristensen', 94)"
"('simonclark', 94)"
"('yungchangyang', 94)"
"('kerkpad', 94)"
"('kruisstraat', 94)"
"('torenstraat', 94)"
"('supernova', 93)"
"('washingtoncounty', 93)"
"('greenecounty', 93)"
"('muhammadalidrisi', 93)"
"('stillcamera', 93)"
"('stevewhite', 93)"
"('leliestraat', 93)"
"('pumpuangduangjan', 93)"
"('life', 92)"
"('nuuk', 92)"
"('cleopatra', 92)"
"('mozillafirefox', 92)"
"('burgos', 92)"
"('malaria', 92)"
"('aurora', 92)"
"('gorakhpurharyana', 92)"
"('infogrames', 92)"
"('ppfgroup', 92)"
"('julianalaan', 92)"
"('thegoodwife', 91)"
"('spiderman', 91)"
"('kassymjomarttokayev', 91)"
"('apolloasteroid', 91)"
"('annieproulx', 91)"
"('sambettens', 91)"
"('jeanvanier', 91)"
"('chenyu', 91)"
"('clairebackhouse', 91)"
"('richardpulteney', 91)"
"('jonathankissling', 91)"
"('dnamethylationandnormalchromosomebehaviorinneurosporadependonfivecomponentsofahistonemethyltransferasecomplexdcdc', 91)"
"('fame', 90)"
"('iris', 90)"
"('svendpri', 90)"
"('theeternalroad', 90)"
"('gerhardmerz', 90)"
"('iralorenwiggins', 90)"
"('isabellanielsen', 90)"
"('pamelajshoemaker', 90)"
"('blackhole', 89)"
"('madonna', 89)"
"('unionofeuropeanfootballassociations', 89)"
"('dorisday', 89)"
"('borisgodunov', 89)"
"('rasmusbonde', 89)"
"('petergade', 89)"
"('jwalagutta', 89)"
"('rachelscott', 89)"
"('theothersideofthewind', 89)"
"('liuyong', 89)"
"('prinsesbeatrixstraat', 89)"
"('emiliosavonanzi', 89)"
"('greenwichhouse', 89)"
"('julianassange', 88)"
"('go', 88)"
"('america', 88)"
"('rose', 88)"
"('zhangwei', 88)"
"('christinahendricks', 88)"
"('onstage', 88)"
"('georgelewis', 88)"
"('prakashpadukone', 88)"
"('conservedplasmodiumproteinunknownfunction', 88)"
"('esdoornstraat', 88)"
"('evanwalters', 88)"
"('sanmiguel', 87)"
"('churchofallsaints', 87)"
"('genistein', 87)"
"('governorofportuguesetimor', 87)"
"('sharoncreech', 87)"
"('raulmust', 87)"
"('mavismacnaughton', 87)"
"('omloopvanhethoutland', 87)"
"('jesus', 86)"
"('thekiss', 86)"
"('herminespeier', 86)"
"('ilonaryk', 86)"
"('madsconradpetersen', 86)"
"('phyllischan', 86)"
"('mihahorvat', 86)"
"('middenweg', 86)"
"('oklahomavtexas', 86)"
"('prinshendrikstraat', 86)"
"('theyadvashemencyclopediaoftheghettosduringtheholocaust', 86)"
"('dinosaur', 85)"
"('apollo', 85)"
"('iristabeling', 85)"
"('libertytownship', 85)"
"('agostinodepretis', 85)"
"('fantasticmrfox', 85)"
"('petermayhew', 85)"
"('luckyman', 85)"
"('danielshirley', 85)"
"('mogensfelsby', 85)"
"('nickhall', 85)"
"('eikenlaan', 85)"
"('tuinstraat', 85)"
"('memoryhole', 85)"
"('stream', 84)"
"('emilbessels', 84)"
"('falstaff', 84)"
"('louise', 84)"
"('janghyeock', 84)"
"('paoloboselli', 84)"
"('tourdeslovaquie', 84)"
"('romancatholicarchdioceseofparis', 84)"
"('parklaan', 84)"
"('rijksweg', 84)"
"('boston', 83)"
"('gonewiththewind', 83)"
"('pilar', 83)"
"('grandhotel', 83)"
"('pole', 83)"
"('meelismaiste', 83)"
"('vueltadeluruguay', 83)"
"('petramichalowsky', 83)"
"('opendj', 83)"
"('tajikistan', 82)"
"('rizal', 82)"
"('sanfernando', 82)"
"('chloroplast', 82)"
"('empressmasako', 82)"
"('ronneburg', 82)"
"('dennislens', 82)"
"('bernhardstraat', 82)"
"('gson', 82)"
"('martinmaloney', 82)"
"('federatedstatesofmicronesia', 81)"
"('santodomingo', 81)"
"('numb', 81)"
"('olympia', 81)"
"('achristmascarol', 81)"
"('ambrogiofogar', 81)"
"('giuseppezanardelli', 81)"
"('jackma', 81)"
"('danielkatz', 81)"
"('jaccoarends', 81)"
"('felicealessandroradicati', 81)"
"('seigneurofsark', 81)"
"('groeneweg', 81)"
"('hogeweg', 81)"
"('nijverheidsweg', 81)"
"('georgwoerlein', 81)"
"('lovestory', 80)"
"('selenapiek', 80)"
"('palmyraatoll', 80)"
"('joseph', 80)"
"('marshallcounty', 80)"
"('michaelryan', 80)"
"('ramonberengueriiicountofbarcelona', 80)"
"('khwarazmiandynasty', 80)"
"('majakersnik', 80)"
"('kaiabraham', 80)"
"('leeuwerikstraat', 80)"
"('meidoornlaan', 80)"
"('africa', 79)"
"('brunei', 79)"
"('eritrea', 79)"
"('painting', 79)"
"('vitamin', 79)"
"('israelgutman', 79)"
"('grandprixdisbergues', 79)"
"('lavaluniversity', 79)"
"('doktorfaust', 79)"
"('pendro', 79)"
"('libzip', 79)"
"('serbia', 78)"
"('raphael', 78)"
"('weihnachten', 78)"
"('countyofverdun', 78)"
"('imrerietveldnielsen', 78)"
"('moofootlian', 78)"
"('allerleinahrung', 78)"
"('prinsesmargrietstraat', 78)"
"('montenegro', 77)"
"('cinderella', 77)"
"('internationalspacestation', 77)"
"('mariovargasllosa', 77)"
"('peterhobbs', 77)"
"('macbeth', 77)"
"('sumerianarchitecture', 77)"
"('francescocrispi', 77)"
"('luciofabris', 77)"
"('volkerherbst', 77)"
"('zurjahreswende', 77)"
"('lindenlaan', 77)"
"('earth', 76)"
"('housecat', 76)"
"('hamilton', 76)"
"('therollingstones', 76)"
"('sebastianbieniek', 76)"
"('hanukkah', 76)"
"('aubreyplaza', 76)"
"('tellme', 76)"
"('thecantervilleghost', 76)"
"('stanislavgrof', 76)"
"('wildmoodswings', 76)"
"('petratobien', 76)"
"('kerklaan', 76)"
"('esdoornlaan', 76)"
"('rasmuspaludan', 76)"
"('balticsea', 75)"
"('gameofthrones', 75)"
"('lincoln', 75)"
"('faith', 75)"
"('leda', 75)"
"('aimargues', 75)"
"('nada', 75)"
"('ehcache', 75)"
"('medicalschool', 75)"
"('metteschjoldager', 75)"
"('christinemaertin', 75)"
"('derrickng', 75)"
"('kingslistofabydosramessesii', 75)"
"('newyorkcitydepartmentofparksandrecreation', 75)"
"('omloopmandelleieschelde', 75)"
"('stanleycorngold', 75)"
"('franshalsstraat', 75)"
"('davidslater', 75)"
"('mars', 74)"
"('ptolemyisoter', 74)"
"('hancockcounty', 74)"
"('roxanndawson', 74)"
"('perrytownship', 74)"
"('quercetin', 74)"
"('gracegao', 74)"
"('preludetowar', 74)"
"('eddychoong', 74)"
"('kerstinbohn', 74)"
"('flandylimpele', 74)"
"('kinjizeniya', 74)"
"('kissmekissmekissme', 74)"
"('darktable', 74)"
"('jasmijnstraat', 74)"
"('human', 73)"
"('hamlet', 73)"
"('jeanofluxembourg', 73)"
"('rosaparks', 73)"
"('justintimberlake', 73)"
"('theavonharbou', 73)"
"('nana', 73)"
"('contraception', 73)"
"('injection', 73)"
"('hurt', 73)"
"('lestroyens', 73)"
"('craigstrete', 73)"
"('tommasovilla', 73)"
"('felicedenooyer', 73)"
"('karenbridge', 73)"
"('shepherdshill', 73)"
"('susansherman', 73)"
"('alonzomyronkimball', 73)"
"('homeassistant', 73)"
"('georgewashington', 72)"
"('radon', 72)"
"('edsheeran', 72)"
"('randolphcounty', 72)"
"('gudrunpausewang', 72)"
"('ironman', 72)"
"('zhangning', 72)"
"('vitaminc', 72)"
"('lulu', 72)"
"('aparnabalan', 72)"
"('ajcasson', 72)"
"('callotsoeurs', 72)"
"('governorgeneralofnorway', 72)"
"('achterweg', 72)"
"('happiness', 71)"
"('english', 71)"
"('havana', 71)"
"('bible', 71)"
"('santiago', 71)"
"('supernatural', 71)"
"('huawei', 71)"
"('marlenethomsen', 71)"
"('billygilliland', 71)"
"('giovannigiolitti', 71)"
"('publiusvaleriuspoplicola', 71)"
"('schwarzenborn', 71)"
"('alfonsolamarmora', 71)"
"('granttownship', 71)"
"('unitedstatesdepartmentoftheinterior', 71)"
"('thessalonikimetro', 71)"
"('jacobinism', 71)"
"('begoniastraat', 71)"
"('georgesheffield', 71)"
"('sanfrancisco', 70)"
"('starwars', 70)"
"('football', 70)"
"('mother', 70)"
"('franklincounty', 70)"
"('worldsgreatestdad', 70)"
"('yoke', 70)"
"('arash', 70)"
"('diclofenac', 70)"
"('americaninstituteofphysics', 70)"
"('priceriver', 70)"
"('ferdinandomartini', 70)"
"('dinukakarunaratne', 70)"
"('irisrogers', 70)"
"('fransburman', 70)"
"('laviniaclararadeglia', 70)"
"('donetsknationaltechnicaluniversity', 70)"
"('ruedenantes', 70)"
"('grangehill', 70)"
"('roaldamundsen', 69)"
"('sanantonio', 69)"
"('kingarthur', 69)"
"('aprilfoolsday', 69)"
"('magic', 69)"
"('anaconda', 69)"
"('cortisone', 69)"
"('tonyhale', 69)"
"('orderoftherose', 69)"
"('cesarecorrenti', 69)"
"('derferneklang', 69)"
"('dorothytinline', 69)"
"('sarojinigogte', 69)"
"('queenieallen', 69)"
"('michaelstephensilk', 69)"
"('venus', 68)"
"('easttimor', 68)"
"('britishairways', 68)"
"('time', 68)"
"('sanjuan', 68)"
"('chef', 68)"
"('fedora', 68)"
"('susanwojcicki', 68)"
"('nishiku', 68)"
"('lili', 68)"
"('dujing', 68)"
"('generalgrant', 68)"
"('parissaintgermainfc', 68)"
"('rastede', 68)"
"('shrutikurien', 68)"
"('constantin', 68)"
"('diegezeichneten', 68)"
"('cendrillon', 68)"
"('tourdudoubs', 68)"
"('peggyrichter', 68)"
"('girodelfriuli', 68)"
"('johnsamis', 68)"
"('marktstraat', 68)"
"('reigerstraat', 68)"
"('stationsplein', 68)"
"('mayorofkarachi', 68)"
"('nicolaeliviudragnea', 68)"
"('gold', 67)"
"('skyfall', 67)"
"('themagicflute', 67)"
"('r', 67)"
"('littleredridinghood', 67)"
"('quezon', 67)"
"('czechalphabet', 67)"
"('amiga', 67)"
"('hedwigkohn', 67)"
"('ltryptophan', 67)"
"('mefenamicacid', 67)"
"('doloresmarco', 67)"
"('sidneysonnino', 67)"
"('ajibasukisindoro', 67)"
"('urbanorattazzi', 67)"
"('julietteahwan', 67)"
"('lotteolsen', 67)"
"('brink', 67)"
"('liverpoolfc', 67)"
"('voronezhstateuniversity', 67)"
"('baladicheese', 67)"
"('prinsesirenestraat', 67)"
"('rainloop', 67)"
"('lesleyjackson', 67)"
"('livewithoutanet', 67)"
"('god', 66)"
"('odessa', 66)"
"('dune', 66)"
"('thelionking', 66)"
"('david', 66)"
"('william', 66)"
"('marcusellis', 66)"
"('peterpan', 66)"
"('milton', 66)"
"('thequeenofspades', 66)"
"('marina', 66)"
"('sequencehomology', 66)"
"('tuttifrutti', 66)"
"('dorothywalton', 66)"
"('twointhewave', 66)"
"('jodypatrick', 66)"
"('margarettragett', 66)"
"('claudiolemosfonteles', 66)"
"('thomascarter', 66)"
"('albumderpoesien', 66)"
"('prinsbernhardlaan', 66)"
"('plantcuttings', 66)"
"('beijing', 65)"
"('richardwagner', 65)"
"('pandora', 65)"
"('nursultannazarbayev', 65)"
"('jacksoncounty', 65)"
"('arnoldsommerfeld', 65)"
"('aclumezzane', 65)"
"('worker', 65)"
"('mohammedkhodabanda', 65)"
"('robinsoncrusoe', 65)"
"('mickeyfinn', 65)"
"('theophylline', 65)"
"('lambdacygni', 65)"
"('attackontitan', 65)"
"('dirkhickl', 65)"
"('erfriedmichalowsky', 65)"
"('juttabehrens', 65)"
"('tomhollandtieneunanoviallamadaariannaluciastaszekdelgado', 65)"
"('beatrixlaan', 65)"
"('nassaustraat', 65)"
"('gorakhpur', 65)"
"('vladimirlenin', 64)"
"('law', 64)"
"('kamilaaugustyn', 64)"
"('fethiye', 64)"
"('thesun', 64)"
"('palestrina', 64)"
"('samaksunthorawet', 64)"
"('antoniosalandra', 64)"
"('charity', 64)"
"('clairelovett', 64)"
"('diesoldaten', 64)"
"('einarveede', 64)"
"('deadpool', 64)"
"('petraschubert', 64)"
"('sueharrison', 64)"
"('dreef', 64)"
"('oranjelaan', 64)"
"('eduardderon', 64)"
"('alberteinstein', 63)"
"('hamburg', 63)"
"('arthropoda', 63)"
"('santafe', 63)"
"('horizon', 63)"
"('die', 63)"
"('maybetomorrow', 63)"
"('santaana', 63)"
"('friends', 63)"
"('towerbridge', 63)"
"('franzbaader', 63)"
"('zandstraat', 63)"
"('panther', 63)"
"('live', 63)"
"('lucretia', 63)"
"('kitaku', 63)"
"('holiday', 63)"
"('vauvert', 63)"
"('georgiospapanikolaou', 63)"
"('northriver', 63)"
"('wecometotheriver', 63)"
"('conan', 63)"
"('millcreek', 63)"
"('erikastich', 63)"
"('pianielsen', 63)"
"('statueofsacredheartofjesuschrist', 63)"
"('theheadonthedoor', 63)"
"('zwarteweg', 63)"
"('brugstraat', 63)"
"('playerunknownsbattlegrounds', 63)"
"('voliv', 63)"
"('orange', 62)"
"('montecarlo', 62)"
"('minamiku', 62)"
"('miaaudina', 62)"
"('lescontesdhoffmann', 62)"
"('christinemagnusson', 62)"
"('adorationofthemagi', 62)"
"('noraperry', 62)"
"('charoenwattanasin', 62)"
"('syedmodi', 62)"
"('ruggierobonghi', 62)"
"('holgerwippich', 62)"
"('jimlaugesen', 62)"
"('chiefjusticeofthesupremecourtofnorway', 62)"
"('lenaklassen', 62)"
"('acacialaan', 62)"
"('fortschritteunderfindungenderneuzeit', 62)"
"('hoofdweg', 62)"
"('kerkweg', 62)"
"('merelstraat', 62)"
"('rembrandtstraat', 62)"
"('marcusmote', 62)"
"('volumenvi', 62)"
"('peace', 61)"
"('williamshakespeare', 61)"
"('beauty', 61)"
"('sanvicente', 61)"
"('onceuponatime', 61)"
"('emmawatson', 61)"
"('underworld', 61)"
"('mondragoncorporation', 61)"
"('jyriaalto', 61)"
"('kamillarytterjuhl', 61)"
"('lcysteine', 61)"
"('centraladministrativeokrug', 61)"
"('ascot', 61)"
"('parade', 61)"
"('dragonballz', 61)"
"('churchofstpeter', 61)"
"('viktoraxelsen', 61)"
"('jacquelinebolduan', 61)"
"('vueltaciclistaacostarica', 61)"
"('monikacassens', 61)"
"('playwithfire', 61)"
"('achterstraat', 61)"
"('nachtegaalstraat', 61)"
"('penitentmagdalene', 61)"
"('georgecohen', 61)"
"('santvicentelmeupoble', 61)"
"('vienna', 60)"
"('yerevan', 60)"
"('winstonchurchill', 60)"
"('buenavista', 60)"
"('portrait', 60)"
"('saintpatricksday', 60)"
"('thejunglebook', 60)"
"('lincolntownship', 60)"
"('beto', 60)"
"('happydays', 60)"
"('akaneyamaguchi', 60)"
"('andresojamaa', 60)"
"('presentation', 60)"
"('monkeypunch', 60)"
"('karasolmundson', 60)"
"('eliseriksson', 60)"
"('michaelajunker', 60)"
"('goudenregenstraat', 60)"
"('maasstraat', 60)"
"('molendijk', 60)"
"('churchofstmichael', 60)"
"('alfredaugustusglendeningjr', 60)"
"('chernobyldisaster', 59)"
"('goa', 59)"
"('johannsebastianbach', 59)"
"('naga', 59)"
"('michaeljackson', 59)"
"('marilynmonroe', 59)"
"('eminem', 59)"
"('familyguy', 59)"
"('abraham', 59)"
"('nude', 59)"
"('santotomas', 59)"
"('impei', 59)"
"('unity', 59)"
"('michaelwolf', 59)"
"('arianagrande', 59)"
"('margaretatwood', 59)"
"('adenosine', 59)"
"('tosca', 59)"
"('tmnt', 59)"
"('findingneverland', 59)"
"('wangwei', 59)"
"('arabella', 59)"
"('vladimirivanov', 59)"
"('annapatrick', 59)"
"('almendra', 59)"
"('outremont', 59)"
"('jensscheithauer', 59)"
"('katjamichalowsky', 59)"
"('pierrepelupessy', 59)"
"('georgianagoddardking', 59)"
"('binnenweg', 59)"
"('boslaan', 59)"
"('anmeinemutter', 59)"
"('einblickhinterdiecoulissen', 59)"
"('heavenlydays', 59)"
"('thrinaconyxfumosus', 59)"
"('mariebankheadowen', 59)"
"('dog', 58)"
"('history', 58)"
"('chicken', 58)"
"('jpeg', 58)"
"('rain', 58)"
"('bontoc', 58)"
"('rosario', 58)"
"('vampire', 58)"
"('rolandriese', 58)"
"('miramare', 58)"
"('zawiaty', 58)"
"('monroetownship', 58)"
"('giovanninicotera', 58)"
"('vittorioemanueleorlando', 58)"
"('pusarlavenkatasindhu', 58)"
"('gabrielbibron', 58)"
"('ofo', 58)"
"('chinarailwayconstructioncorporation', 58)"
"('desideratochiaves', 58)"
"('davidsnider', 58)"
"('frankdevlin', 58)"
"('karenchapman', 58)"
"('peewee', 58)"
"('marjoriebarrett', 58)"
"('michaelfranz', 58)"
"('michaelamay', 58)"
"('petermills', 58)"
"('ausmeinervogelstube', 58)"
"('derprairiebrand', 58)"
"('thegoodsamaritan', 58)"
"('andersholchpovlsen', 58)"
"('tammiwilson', 58)"
"('alfredaugustusglendeningsr', 58)"
"('eiffeltower', 57)"
"('music', 57)"
"('lapaz', 57)"
"('pinecreek', 57)"
"('flowers', 57)"
"('othello', 57)"
"('maria', 57)"
"('metaphysics', 57)"
"('heat', 57)"
"('work', 57)"
"('ivanivka', 57)"
"('michaelende', 57)"
"('amidsummernightsdream', 57)"
"('thefastandthefurious', 57)"
"('transitionalnationalgovernment', 57)"
"('residentevil', 57)"
"('dracaena', 57)"
"('mariontownship', 57)"
"('martenmendez', 57)"
"('ukiyoe', 57)"
"('sanlorenzo', 57)"
"('thebarberofseville', 57)"
"('markhughes', 57)"
"('vladimirsolovyov', 57)"
"('christinnapedersen', 57)"
"('marywarnockbaronesswarnock', 57)"
"('daidzein', 57)"
"('anttiviitikko', 57)"
"('thetop', 57)"
"('quintenvandalm', 57)"
"('federicoseismitdoda', 57)"
"('fionamckee', 57)"
"('singel', 57)"
"('bremstraat', 57)"
"('broekstraat', 57)"
"('chopinstraat', 57)"
"('ausderkinderstube', 57)"
"('diestedinger', 57)"
"('treueliebe', 57)"
"('koninginjulianastraat', 57)"
"('marijkestraat', 57)"
"('giuliocesarevenenti', 57)"
"('napoleon', 56)"
"('montana', 56)"
"('winter', 56)"
"('autumn', 56)"
"('mariecurie', 56)"
"('johnfkennedy', 56)"
"('gravity', 56)"
"('hanselandgretel', 56)"
"('deneb', 56)"
"('rai', 56)"
"('thelastsupper', 56)"
"('germania', 56)"
"('wilhelmreich', 56)"
"('michaelcollins', 56)"
"('jonathanbanks', 56)"
"('benzotriazole', 56)"
"('limbo', 56)"
"('yukifukushima', 56)"
"('ashwiniponnappa', 56)"
"('crucifixion', 56)"
"('hiroeyuki', 56)"
"('pasqualestanislaomancini', 56)"
"('judydevlin', 56)"
"('ibraimomussagy', 56)"
"('idrissemussagy', 56)"
"('thomasstavngaard', 56)"
"('prebendabelsteen', 56)"
"('zwaluwstraat', 56)"
"('pauluspotterstraat', 56)"
"('comptolampra', 56)"
"('terrylwhitworth', 56)"
"('josephstalin', 55)"
"('dantealighieri', 55)"
"('newyork', 55)"
"('siquijor', 55)"
"('mariobenedetti', 55)"
"('line', 55)"
"('toyota', 55)"
"('magsaysay', 55)"
"('fayettecounty', 55)"
"('portia', 55)"
"('kingkong', 55)"
"('doncarlos', 55)"
"('frozen', 55)"
"('hallein', 55)"
"('uniontownship', 55)"
"('benedettocairoli', 55)"
"('grace', 55)"
"('rlipoamide', 55)"
"('birkenau', 55)"
"('salmanofsaudiarabia', 55)"
"('premtinsulanonda', 55)"
"('mycophenolicacid', 55)"
"('anamoura', 55)"
"('istandalone', 55)"
"('marcominghetti', 55)"
"('musicforpleasure', 55)"
"('ourhouse', 55)"
"('dialoguesofthecarmelites', 55)"
"('philipkdickaward', 55)"
"('giuseppefinzi', 55)"
"('pandimukkalavenkatavaralakshmi', 55)"
"('pranavchopra', 55)"
"('heikefranke', 55)"
"('portraitofayoungman', 55)"
"('lothardiehr', 55)"
"('pietheinstraat', 55)"
"('ambachtsweg', 55)"
"('emmalaan', 55)"
"('tulpstraat', 55)"
"('strangemagic', 55)"
"('comparativeeffectivenessofexerciseanddruginterventionsonmortalityoutcomesmetaepidemiologicalstudy', 55)"
"('ithinkiloveyou', 55)"
"('apple', 54)"
"('galileogalilei', 54)"
"('neilarmstrong', 54)"
"('harburg', 54)"
"('georgetown', 54)"
"('benitomussolini', 54)"
"('superman', 54)"
"('akihito', 54)"
"('internationalworkersday', 54)"
"('jeffersoncounty', 54)"
"('lincolncounty', 54)"
"('charlottekerner', 54)"
"('nitishkumar', 54)"
"('thewall', 54)"
"('valsartan', 54)"
"('git', 54)"
"('machinehead', 54)"
"('musicrecordingsalescertification', 54)"
"('ethelthomsonlarcombe', 54)"
"('arman', 54)"
"('vivaldi', 54)"
"('diuron', 54)"
"('guilty', 54)"
"('vagitalekperov', 54)"
"('monocalciumcitrate', 54)"
"('mrpotatohead', 54)"
"('evelyncarow', 54)"
"('ischaemicheartdisease', 54)"
"('giuseppemassari', 54)"
"('jaimiedawson', 54)"
"('tourdelain', 54)"
"('gasthuisstraat', 54)"
"('badcat', 54)"
"('ausdenzeitenderschwerennoth', 54)"
"('christnacht', 54)"
"('einautodidakt', 54)"
"('kastanjestraat', 54)"
"('klaproosstraat', 54)"
"('rembrandtlaan', 54)"
"('veldweg', 54)"
"('iancognito', 54)"
"('space', 53)"
"('milan', 53)"
"('washington', 53)"
"('kosovo', 53)"
"('roxas', 53)"
"('amazon', 53)"
"('corvus', 53)"
"('robinhood', 53)"
"('amerika', 53)"
"('evamariamudrich', 53)"
"('mobydick', 53)"
"('sia', 53)"
"('saintsebastian', 53)"
"('yezhaoying', 53)"
"('afrosamurai', 53)"
"('judith', 53)"
"('kimdongmoon', 53)"
"('hanaiping', 53)"
"('angelikahaase', 53)"
"('kriangsakchamanan', 53)"
"('ubaldinoperuzzi', 53)"
"('onoratocaetani', 53)"
"('dipughosh', 53)"
"('majkenvange', 53)"
"('girodisicilia', 53)"
"('akkerstraat', 53)"
"('allerleikurzweil', 53)"
"('berichtigung', 53)"
"('hofstraat', 53)"
"('industriestraat', 53)"
"('kareldoormanstraat', 53)"
"('commonmark', 53)"
"('intraoperativeradiotherapyingynaecologicalandgenitourinarymalignanciesfocusonendometrialcervicalrenalbladderandprostatecancers', 53)"
"('celtiberianrange', 53)"
"('fritzbrotzen', 53)"
"('platinumeuropeaward', 53)"
"('mohammadsalim', 53)"
"('newyorkcity', 52)"
"('evolution', 52)"
"('deathnote', 52)"
"('valencia', 52)"
"('chemistry', 52)"
"('georgeorwell', 52)"
"('eliudkipchoge', 52)"
"('ram', 52)"
"('malcolmx', 52)"
"('unioncounty', 52)"
"('julizeh', 52)"
"('eilat', 52)"
"('bmwsauber', 52)"
"('nickiminaj', 52)"
"('lorenzoghiberti', 52)"
"('peggylipton', 52)"
"('markuspersson', 52)"
"('scottwalker', 52)"
"('cantardemiocid', 52)"
"('kimmoonsoo', 52)"
"('gilyoungah', 52)"
"('marinakaljurand', 52)"
"('sainanehwal', 52)"
"('taitzuying', 52)"
"('jennywallwork', 52)"
"('lilingwei', 52)"
"('vivahate', 52)"
"('angelabairstow', 52)"
"('quintinosella', 52)"
"('intothewoods', 52)"
"('emilioviscontivenosta', 52)"
"('symfony', 52)"
"('gerdhachmeister', 52)"
"('gerdpigola', 52)"
"('goethe', 52)"
"('katrinschmidt', 52)"
"('yuanwemyss', 52)"
"('janefbramsen', 52)"
"('theplayerschampionship', 52)"
"('pedernissen', 52)"
"('bergweg', 52)"
"('reineaufdenlofoten', 52)"
"('iepenlaan', 52)"
"('lageweg', 52)"
"('langeweg', 52)"
"('thorbeckestraat', 52)"
"('weegbree', 52)"
"('mohammedrafirecordedsongs', 52)"
"('war', 51)"
"('claudemonet', 51)"
"('karlmarx', 51)"
"('thesmurfs', 51)"
"('hirohito', 51)"
"('hippopotamus', 51)"
"('luna', 51)"
"('spirit', 51)"
"('merlin', 51)"
"('jamesstewart', 51)"
"('anvil', 51)"
"('resurrection', 51)"
"('hero', 51)"
"('orpheus', 51)"
"('manonlescaut', 51)"
"('benvenutocellini', 51)"
"('musicvideo', 51)"
"('bibiandersson', 51)"
"('chungmyunghee', 51)"
"('allerseelen', 51)"
"('sirjohninlove', 51)"
"('chungsoyoung', 51)"
"('borisyefimov', 51)"
"('madness', 51)"
"('johanwahjudi', 51)"
"('sly', 51)"
"('regiolect', 51)"
"('parkjoobong', 51)"
"('ruotadoro', 51)"
"('margaretvarnerbloss', 51)"
"('taniamallet', 51)"
"('motherlode', 51)"
"('herobeauregardfaulknerfiennestiffin', 51)"
"('erichwilde', 51)"
"('fernandosilva', 51)"
"('policelineup', 51)"
"('fiveringsofmoscow', 51)"
"('gabrielleadcock', 51)"
"('nikias', 51)"
"('tanyeekhan', 51)"
"('qianghong', 51)"
"('jenseriksen', 51)"
"('kirstygilmour', 51)"
"('lutzjenke', 51)"
"('ngboonbee', 51)"
"('petrlacina', 51)"
"('bergstraat', 51)"
"('dermilchbaum', 51)"
"('zurnachahmungempfohlen', 51)"
"('veenweg', 51)"
"('lesbicyclettesdebelsize', 51)"
"('acornimageeditor', 51)"
"('yoninaeldar', 51)"
"('adolfhitler', 50)"
"('summer', 50)"
"('autobiography', 50)"
"('nintendo', 50)"
"('thomasalvaedison', 50)"
"('orion', 50)"
"('hercules', 50)"
"('mikhailgorbachev', 50)"
"('macedonia', 50)"
"('independenceday', 50)"
"('whitehall', 50)"
"('karenduve', 50)"
"('baymak', 50)"
"('gloria', 50)"
"('harmine', 50)"
"('ode', 50)"
"('heavensent', 50)"
"('oldage', 50)"
"('zhangyi', 50)"
"('salome', 50)"
"('oscommerce', 50)"
"('leechongwei', 50)"
"('abhinnshyamgupta', 50)"
"('dasrheingold', 50)"
"('genewolfe', 50)"
"('lesreed', 50)"
"('sirivannavarinariratana', 50)"
"('tangyongshu', 50)"
"('erasure', 50)"
"('ojamajodoremi', 50)"
"('dicksudirman', 50)"
"('sarwendahkusumawardhani', 50)"
"('charleshamelin', 50)"
"('istanbulprovince', 50)"
"('griselda', 50)"
"('eweag', 50)"
"('laurensmith', 50)"
"('vijaydeepsingh', 50)"
"('hughfindlay', 50)"
"('paulakilvington', 50)"
"('johnbritton', 50)"
"('juliamann', 50)"
"('kerstinubben', 50)"
"('sommer', 50)"
"('marybryan', 50)"
"('paulwright', 50)"
"('peteraxelsson', 50)"
"('cherylseinen', 50)"
"('derpfingstlotter', 50)"
"('derholzknecht', 50)"
"('groenstraat', 50)"
"('spracheundmusikindernatur', 50)"
"('zumneuenjahr', 50)"
"('zurbeachtung', 50)"
"('veerweg', 50)"
"('tangchunman', 50)"
"('xenohormeticandantiagingactivityofsecoiridoidpolyphenolspresentinextravirginoliveoilanewfamilyofgerosuppressantagents', 50)"
"('kavindiishandikasirimannage', 50)"
"('therapeuticpotentialoftricyclodnaantisenseoligonucleotides', 50)"
"('templateyearbycategory', 50)"
"('language', 49)"
"('science', 49)"
"('moon', 49)"
"('virus', 49)"
"('isaacnewton', 49)"
"('bologna', 49)"
"('democraticparty', 49)"
"('numbers', 49)"
"('tupacshakur', 49)"
"('sydneyairport', 49)"
"('vitamina', 49)"
"('fairytail', 49)"
"('module', 49)"
"('dingo', 49)"
"('rebecca', 49)"
"('adamandeve', 49)"
"('apoelfc', 49)"
"('inversion', 49)"
"('olivertwist', 49)"
"('vitamind', 49)"
"('scylla', 49)"
"('groove', 49)"
"('barcelonazoo', 49)"
"('michaeladams', 49)"
"('sunyu', 49)"
"('ilombardiallaprimacrociata', 49)"
"('michelleedwards', 49)"
"('chrislangridge', 49)"
"('dantesinferno', 49)"
"('thecunninglittlevixen', 49)"
"('marianaagathangelou', 49)"
"('raebarelidistrict', 49)"
"('evelinepeterson', 49)"
